id, order, scheduledStopPointRef, forAlighting, forBoarding, journeyPatternRef
113243375237158001_10,11,113243375237158001_10,1,1,113243375237158001
113243375237158001_11,12,113243375237158001_11,1,1,113243375237158001
113243375237158001_12,13,113243375237158001_12,1,1,113243375237158001
113243375237158001_13,14,113243375237158001_13,1,1,113243375237158001
113243375237158001_14,15,113243375237158001_14,1,1,113243375237158001
113243375237158001_15,16,113243375237158001_15,1,1,113243375237158001
113243375237158001_16,17,113243375237158001_16,1,1,113243375237158001
113243375237158001_17,18,113243375237158001_17,1,1,113243375237158001
113243375237158001_18,19,113243375237158001_18,1,1,113243375237158001
113243375237158001_19,20,113243375237158001_19,1,1,113243375237158001
113243375237158001_20,21,113243375237158001_20,1,1,113243375237158001
113243375237158001_21,22,113243375237158001_21,1,2,113243375237158001
113243369237158001_1,2,113243369237158001_1,2,1,113243369237158001
113243369237158001_2,3,113243369237158001_2,1,1,113243369237158001
113243369237158001_3,4,113243369237158001_3,1,1,113243369237158001
113243369237158001_4,5,113243369237158001_4,1,1,113243369237158001
113243369237158001_5,6,113243369237158001_5,1,1,113243369237158001
113243369237158001_6,7,113243369237158001_6,1,1,113243369237158001
113243369237158001_7,8,113243369237158001_7,1,1,113243369237158001
113243369237158001_8,9,113243369237158001_8,1,1,113243369237158001
113243369237158001_9,10,113243369237158001_9,1,1,113243369237158001
113243369237158001_10,11,113243369237158001_10,1,1,113243369237158001
113243369237158001_11,12,113243369237158001_11,1,1,113243369237158001
113243369237158001_12,13,113243369237158001_12,1,1,113243369237158001
113243369237158001_13,14,113243369237158001_13,1,1,113243369237158001
113243369237158001_14,15,113243369237158001_14,1,1,113243369237158001
113243369237158001_15,16,113243369237158001_15,1,1,113243369237158001
113243369237158001_16,17,113243369237158001_16,1,1,113243369237158001
113243369237158001_17,18,113243369237158001_17,1,1,113243369237158001
113243369237158001_18,19,113243369237158001_18,1,1,113243369237158001
113243369237158001_19,20,113243369237158001_19,1,1,113243369237158001
113243369237158001_20,21,113243369237158001_20,1,1,113243369237158001
113243369237158001_21,22,113243369237158001_21,1,1,113243369237158001
113243374237158001_1,2,113243374237158001_1,2,1,113243374237158001
113243374237158001_2,3,113243374237158001_2,1,1,113243374237158001
113243374237158001_3,4,113243374237158001_3,1,1,113243374237158001
113243374237158001_4,5,113243374237158001_4,1,1,113243374237158001
113243374237158001_5,6,113243374237158001_5,1,1,113243374237158001
113243374237158001_6,7,113243374237158001_6,1,1,113243374237158001
113243374237158001_7,8,113243374237158001_7,1,1,113243374237158001
113243374237158001_8,9,113243374237158001_8,1,1,113243374237158001
113243374237158001_9,10,113243374237158001_9,1,1,113243374237158001
113243374237158001_10,11,113243374237158001_10,1,1,113243374237158001
113243374237158001_11,12,113243374237158001_11,1,1,113243374237158001
113243374237158001_12,13,113243374237158001_12,1,1,113243374237158001
113243374237158001_13,14,113243374237158001_13,1,1,113243374237158001
113243374237158001_14,15,113243374237158001_14,1,1,113243374237158001
113243374237158001_15,16,113243374237158001_15,1,1,113243374237158001
113243374237158001_16,17,113243374237158001_16,1,1,113243374237158001
113243374237158001_17,18,113243374237158001_17,1,1,113243374237158001
113243374237158001_18,19,113243374237158001_18,1,1,113243374237158001
113243374237158001_19,20,113243374237158001_19,1,1,113243374237158001
113243374237158001_20,21,113243374237158001_20,1,1,113243374237158001
113243374237158001_21,22,113243374237158001_21,1,2,113243374237158001
113332529237469601_1,2,113332529237469601_1,1,1,113332529237469601
113332529237469601_2,3,113332529237469601_2,1,1,113332529237469601
113332529237469601_3,4,113332529237469601_3,1,1,113332529237469601
113332529237469601_4,5,113332529237469601_4,1,1,113332529237469601
113332529237469601_5,6,113332529237469601_5,1,1,113332529237469601
113332529237469601_6,7,113332529237469601_6,1,1,113332529237469601
113332529237469601_7,8,113332529237469601_7,1,1,113332529237469601
113332529237469601_8,9,113332529237469601_8,1,1,113332529237469601
113332529237469601_9,10,113332529237469601_9,1,1,113332529237469601
113332529237469601_10,11,113332529237469601_10,1,1,113332529237469601
113332529237469601_11,12,113332529237469601_11,1,1,113332529237469601
113332529237469601_12,13,113332529237469601_12,1,1,113332529237469601
113332529237469601_13,14,113332529237469601_13,1,1,113332529237469601
113332529237469601_14,15,113332529237469601_14,1,1,113332529237469601
113332529237469601_15,16,113332529237469601_15,1,1,113332529237469601
113332529237469601_16,17,113332529237469601_16,1,1,113332529237469601
113332529237469601_17,18,113332529237469601_17,1,1,113332529237469601
113332529237469601_18,19,113332529237469601_18,1,1,113332529237469601
113332529237469601_19,20,113332529237469601_19,1,1,113332529237469601
113332529237469601_20,21,113332529237469601_20,1,1,113332529237469601
113332529237469601_21,22,113332529237469601_21,1,1,113332529237469601
113332529237469601_22,23,113332529237469601_22,1,1,113332529237469601
113332529237469601_23,24,113332529237469601_23,1,1,113332529237469601
113332529237469601_24,25,113332529237469601_24,1,1,113332529237469601
113332529237469601_25,26,113332529237469601_25,1,2,113332529237469601
113332705237469601_1,2,113332705237469601_1,1,1,113332705237469601
113332705237469601_2,3,113332705237469601_2,1,1,113332705237469601
113332705237469601_3,4,113332705237469601_3,1,1,113332705237469601
113332705237469601_4,5,113332705237469601_4,1,1,113332705237469601
113332705237469601_5,6,113332705237469601_5,1,1,113332705237469601
113332705237469601_6,7,113332705237469601_6,1,1,113332705237469601
113332705237469601_7,8,113332705237469601_7,1,1,113332705237469601
113332705237469601_8,9,113332705237469601_8,1,2,113332705237469601
113332530237469601_1,2,113332530237469601_1,1,1,113332530237469601
113332530237469601_2,3,113332530237469601_2,1,1,113332530237469601
113332530237469601_3,4,113332530237469601_3,1,1,113332530237469601
113332530237469601_4,5,113332530237469601_4,1,1,113332530237469601
113332530237469601_5,6,113332530237469601_5,1,1,113332530237469601
113332530237469601_6,7,113332530237469601_6,1,1,113332530237469601
113332530237469601_7,8,113332530237469601_7,1,1,113332530237469601
113332530237469601_8,9,113332530237469601_8,1,1,113332530237469601
113332530237469601_9,10,113332530237469601_9,1,1,113332530237469601
113332530237469601_10,11,113332530237469601_10,1,1,113332530237469601
113332530237469601_11,12,113332530237469601_11,1,1,113332530237469601
113332530237469601_12,13,113332530237469601_12,1,1,113332530237469601
113332530237469601_13,14,113332530237469601_13,1,1,113332530237469601
113332530237469601_14,15,113332530237469601_14,1,1,113332530237469601
113332530237469601_15,16,113332530237469601_15,1,1,113332530237469601
113332530237469601_16,17,113332530237469601_16,1,1,113332530237469601
113332530237469601_17,18,113332530237469601_17,1,1,113332530237469601
113332530237469601_18,19,113332530237469601_18,1,1,113332530237469601
113332530237469601_19,20,113332530237469601_19,1,1,113332530237469601
113332530237469601_20,21,113332530237469601_20,1,1,113332530237469601
113332530237469601_21,22,113332530237469601_21,1,1,113332530237469601
113332530237469601_22,23,113332530237469601_22,1,1,113332530237469601
113332530237469601_23,24,113332530237469601_23,1,1,113332530237469601
113332530237469601_24,25,113332530237469601_24,1,1,113332530237469601
113332530237469601_25,26,113332530237469601_25,1,2,113332530237469601
113332531237469601_1,2,113332531237469601_1,2,1,113332531237469601
113332531237469601_2,3,113332531237469601_2,1,1,113332531237469601
113332531237469601_3,4,113332531237469601_3,1,1,113332531237469601
113332531237469601_4,5,113332531237469601_4,1,1,113332531237469601
113332531237469601_5,6,113332531237469601_5,1,1,113332531237469601
113332531237469601_6,7,113332531237469601_6,1,1,113332531237469601
113332531237469601_7,8,113332531237469601_7,1,1,113332531237469601
113332531237469601_8,9,113332531237469601_8,1,1,113332531237469601
113332531237469601_9,10,113332531237469601_9,1,2,113332531237469601
113332584237469601_1,2,113332584237469601_1,2,1,113332584237469601
113332584237469601_2,3,113332584237469601_2,1,1,113332584237469601
113332584237469601_3,4,113332584237469601_3,1,1,113332584237469601
113332584237469601_4,5,113332584237469601_4,1,1,113332584237469601
113332584237469601_5,6,113332584237469601_5,1,1,113332584237469601
113332584237469601_6,7,113332584237469601_6,1,1,113332584237469601
113332584237469601_7,8,113332584237469601_7,1,1,113332584237469601
113332584237469601_8,9,113332584237469601_8,1,1,113332584237469601
113332584237469601_9,10,113332584237469601_9,1,1,113332584237469601
113332584237469601_10,11,113332584237469601_10,1,1,113332584237469601
113332584237469601_11,12,113332584237469601_11,1,1,113332584237469601
113332584237469601_12,13,113332584237469601_12,1,1,113332584237469601
113332584237469601_13,14,113332584237469601_13,1,1,113332584237469601
113332584237469601_14,15,113332584237469601_14,1,1,113332584237469601
113332584237469601_15,16,113332584237469601_15,1,1,113332584237469601
113332584237469601_16,17,113332584237469601_16,1,1,113332584237469601
113332584237469601_17,18,113332584237469601_17,1,1,113332584237469601
113332584237469601_18,19,113332584237469601_18,1,1,113332584237469601
113332584237469601_19,20,113332584237469601_19,1,1,113332584237469601
113332584237469601_20,21,113332584237469601_20,1,1,113332584237469601
113332584237469601_21,22,113332584237469601_21,1,1,113332584237469601
113332584237469601_22,23,113332584237469601_22,1,1,113332584237469601
113332584237469601_23,24,113332584237469601_23,1,1,113332584237469601
113332584237469601_24,25,113332584237469601_24,1,1,113332584237469601
113332584237469601_25,26,113332584237469601_25,1,2,113332584237469601
114039048240393603_1,2,114039048240393603_1,2,1,114039048240393603
114039048240393603_2,3,114039048240393603_2,1,1,114039048240393603
114039048240393603_3,4,114039048240393603_3,1,1,114039048240393603
114039048240393603_4,5,114039048240393603_4,1,1,114039048240393603
114039048240393603_5,6,114039048240393603_5,1,1,114039048240393603
114039048240393603_6,7,114039048240393603_6,1,1,114039048240393603
114039048240393603_7,8,114039048240393603_7,1,1,114039048240393603
114039048240393603_8,9,114039048240393603_8,1,1,114039048240393603
114039048240393603_9,10,114039048240393603_9,1,1,114039048240393603
114039048240393603_10,11,114039048240393603_10,1,1,114039048240393603
114039048240393603_11,12,114039048240393603_11,1,1,114039048240393603
114039048240393603_12,13,114039048240393603_12,1,1,114039048240393603
114039048240393603_13,14,114039048240393603_13,1,1,114039048240393603
114039048240393603_14,15,114039048240393603_14,1,1,114039048240393603
114039048240393603_15,16,114039048240393603_15,1,1,114039048240393603
114039048240393603_16,17,114039048240393603_16,1,1,114039048240393603
114039048240393603_17,18,114039048240393603_17,1,1,114039048240393603
114039048240393603_18,19,114039048240393603_18,1,2,114039048240393603
